company_name,fund_name,initial_date,m_strategy,pbs,setting,total_net_profit,modified_base,june_perf,week_perf,pday_perf,perf_2019,year_conv_perf,cum_perf
디에스네트웍스,디에스네트웍스 하이일드 전문투자형 사모투자신탁 제2호,2018-12-20,KOSDAQ Venture,NH투자,10,11,"1,096.16",2.21,0.44,-0.02,9.63,19.18,9.62
디와이,디와이 전문투자형 사모투자신탁 제1호 C-a,2019-02-22,KOSDAQ Venture,신한금융투자,8,8,"1,024.83",0.57,-0.10,-0.02,2.48,7.62,2.48
디와이,디와이 코넥스 하이일드 전문투자형 사모투자신탁 제1호 C-a,2019-02-22,KOSDAQ Venture,신한금융투자,4,4,"1,017.20",0.50,-0.06,-0.14,1.72,5.28,1.72
디와이,디와이 코스닥벤처 전문투자형 사모투자신탁 제1호 C-a,2019-02-22,KOSDAQ Venture,신한금융투자,147,149,"1,014.88",0.51,0.07,-0.01,1.49,4.56,1.49
디와이,디와이 하이일드 전문투자형 사모투자신탁 제1호 C-a,2019-02-22,KOSDAQ Venture,신한금융투자,3,3,"1,019.07",0.62,0.04,0.00,1.91,5.85,1.91
라움,라움 ARL 전문투자형 사모투자신탁 1호,2019-05-10,KOSDAQ Venture,미래에셋대우,90,91,"1,008.99",1.98,0.04,0.09,0.90,7.81,0.90
라움,라움 ORED 하이일드 전문투자형 사모투자신탁 1호 (USD),2018-10-17,KOSDAQ Venture,미래에셋대우,"1,153","1,266",10.98,0.78,0.26,0.11,6.80,14.51,9.82
라움,라움 그린에너지 전문투자형 사모투자신탁 1호 제1종,2018-12-11,KOSDAQ Venture,미래에셋대우,56,56,"1,040.70",0.43,0.14,0.06,3.60,7.74,4.07
라움,라움 멀티에셋 전문투자형 사모투자신탁 2호,2019-03-22,KOSDAQ Venture,미래에셋대우,301,308,"1,023.72",0.52,0.17,0.07,2.37,9.51,2.37
라움,라움 시퀀스 FI 2.0Y 전문투자형 사모투자신탁 1호 제1종,2019-06-07,KOSDAQ Venture,미래에셋대우,66,66,"1,002.91",0.29,0.27,0.05,0.29,7.59,0.29
라움,라움 시퀀스 FI 2.0Y 전문투자형 사모투자신탁 2호 제1종,2019-06-11,KOSDAQ Venture,미래에셋대우,65,65,"1,002.23",0.22,0.21,0.05,0.22,8.14,0.22
라움,라움 시퀀스 FI 2.0Y 전문투자형 사모투자신탁 3호 제1종,2019-06-14,KOSDAQ Venture,미래에셋대우,56,56,"1,001.70",0.17,0.14,0.05,0.17,8.86,0.17
라움,라움 시퀀스 FI 2.0Y 전문투자형 사모투자신탁 4호 제1종,2019-06-17,KOSDAQ Venture,미래에셋대우,61,61,"1,001.19",0.12,0.12,0.05,0.12,10.86,0.12
라움,라움 시퀀스 FI 2.0Y 전문투자형 사모투자신탁 5호 제1종,2019-06-19,KOSDAQ Venture,미래에셋대우,54,54,"1,000.85",0.09,0.09,0.05,0.09,15.51,0.09
라움,라움 시퀀스 앱솔루트 전문투자형 사모투자신탁 1호,2018-10-30,KOSDAQ Venture,미래에셋대우,98,99,"1,046.00",0.43,0.14,0.05,3.47,7.18,4.60
라움,라움 시퀀스 앱솔루트 전문투자형 사모투자신탁 2호,2018-11-21,KOSDAQ Venture,미래에셋대우,196,197,"1,042.33",0.43,0.15,0.02,3.35,7.29,4.23
라이노스,라이노스 K바이오메자닌 전문투자형 사모투자신탁,2018-04-18,KOSDAQ Venture,NH투자,137,145,"1,084.48",3.69,0.51,0.35,4.08,7.19,8.45
라이노스,라이노스 코스닥벤처공모주 전문투자형 사모증권투자신탁 제1호 Class A,2018-05-31,KOSDAQ Venture,미래에셋대우,183,193,"1,065.29",4.99,0.56,0.19,8.42,6.17,6.53
라이노스,라이노스 코스닥벤처공모주 전문투자형 사모증권투자신탁 제2호,2019-04-12,KOSDAQ Venture,미래에셋대우,62,60,981.89,0.58,0.60,-0.18,-1.81,-9.44,-1.81
라이노스,라이노스 코스닥벤처메자닌 전문투자형 사모증권투자신탁 제1호 Class C-I,2018-04-11,KOSDAQ Venture,NH투자,200,217,"1,120.77",4.89,0.55,0.31,4.56,10.11,12.08
라이노스,라이노스 프로텍트 전문투자형 사모투자신탁 제1호 제1종,2017-09-08,KOSDAQ Venture,NH투자,76,85,"1,104.23",2.19,0.70,0.02,7.28,5.84,10.42
라이노스,라이노스 프로텍트 전문투자형 사모투자신탁 제2호 제1종,2018-08-27,KOSDAQ Venture,NH투자,70,80,"1,124.83",5.80,1.48,0.77,7.02,15.29,12.48
라이노스,라이노스 프론티어마켓익스플로러 전문투자형 사모투자신탁 제1호,2018-10-29,KOSDAQ Venture,미래에셋대우,24,23,972.94,-2.26,-0.02,2.28,4.08,-4.20,-2.71
라이노스,라이노스 프론티어메자닌 전문투자형 사모투자신탁 제1호 제1종,2018-10-19,KOSDAQ Venture,미래에셋대우,20,21,"1,034.17",-1.49,-0.39,0.94,3.69,5.09,3.42
라이노스,라이노스 플레인바닐라 전문투자형 사모투자신탁 제1호 제1종,2017-11-07,KOSDAQ Venture,NH투자,50,55,"1,086.59",3.08,0.69,-0.04,8.91,5.35,8.66
라이노스,라이노스 플레인바닐라 전문투자형 사모투자신탁 제2호 제1종,2018-04-20,KOSDAQ Venture,NH투자,71,76,"1,075.41",3.78,0.47,0.14,4.52,6.45,7.54
람다,람다 공모주 코스닥벤처 전문투자형 사모투자신탁 제1호 종류A,2018-04-05,KOSDAQ Venture,NH투자,102,106,"1,122.95",3.13,-0.77,-1.14,1.99,10.15,12.29
람다,람다 공모주 코스닥벤처 전문투자형 사모투자신탁 제2호,2018-04-19,KOSDAQ Venture,NH투자,50,55,"1,102.61",3.16,-0.69,-0.94,1.96,8.75,10.26
람다,람다 벤처 메자닌 전문투자형 사모투자신탁 제2호 종류A,2018-04-26,KOSDAQ Venture,NH투자,56,59,"1,065.91",1.90,-0.07,-0.13,4.85,5.71,6.59
르네상스,르네상스코스닥벤처NH전문투자형사모투자신탁 S클래스,2019-05-31,KOSDAQ Venture,NH투자,50,50,"1,000.00",0.00,0.00,0.00,0.00,0.00,0.00
르네상스,르네상스코스닥벤처액티브전문투자형사모투자신탁 S클래스,2018-05-04,KOSDAQ Venture,한투증권,49,52,"1,241.40",4.17,-0.03,0.08,21.69,21.33,24.14
모루,모루 장인QVA 전문투자형 사모투자신탁_A,2018-04-10,KOSDAQ Venture,NH투자,75,75,"1,030.92",0.46,-0.53,0.02,2.97,2.58,3.09
바른,바른코스닥벤처 전문투자형사모투자신탁제1호,2018-06-15,KOSDAQ Venture,미래에셋대우,14,15,"1,114.92",2.23,-1.86,-0.15,10.10,11.31,11.49
밸류시스템,밸류시스템 RAPID 전문투자형 사모투자신탁 A 클래스,2019-05-22,KOSDAQ Venture,신한금융투자,133,135,"1,012.47",0.60,-0.02,-0.08,1.25,15.17,1.25
밸류시스템,밸류시스템 SLOW 전문투자형 사모투자신탁 A클래스,2018-07-16,KOSDAQ Venture,한투증권,46,61,"1,325.33",2.72,-0.01,-0.47,28.62,34.93,32.53
밸류시스템,밸류시스템 코스닥벤처FAST 전문투자형 사모투자신탁 A클래스,2018-04-20,KOSDAQ Venture,NH투자,34,38,"1,475.97",4.56,-0.49,-0.52,30.16,40.69,47.60
보고,보고 알파플러스 벤처기업 전문투자형 사모투자신탁 제1호(종류C-S),2018-04-27,KOSDAQ Venture,미래에셋대우,15,16,"1,093.16",0.28,0.42,0.03,12.86,8.10,9.32
보고,보고 알파플러스 벤처기업 전문투자형 사모투자신탁 제2호(종류A),2018-09-04,KOSDAQ Venture,미래에셋대우,11,12,"1,147.89",0.95,-0.06,-0.07,17.60,18.61,14.79
브레인,브레인 코스닥벤처 전문투자형 사모투자신탁 1호 종류 C-S,2018-04-05,KOSDAQ Venture,한투증권,418,450,"1,078.35",1.42,0.25,0.08,8.32,6.47,7.84
브레인,브레인 코스닥벤처 전문투자형 사모투자신탁 2호 종류 C-I,2018-05-03,KOSDAQ Venture,NH투자,160,170,"1,063.47",1.11,-0.01,-0.16,8.30,5.60,6.35
블루텍,블루텍 코스닥벤처 전문투자형 사모증권투자신탁 제2호 종류C-S,2018-04-20,KOSDAQ Venture,미래에셋대우,34,33,"1,192.05",1.76,-0.59,-0.34,8.42,16.42,19.20
수성,수성코스닥벤처 Privilege 전문투자형 사모투자신탁,2018-05-30,KOSDAQ Venture,신한금융투자,159,181,"1,141.81",2.06,-0.98,0.39,15.99,13.37,14.18
수성,수성코스닥벤처 멀티PLUS채권 전문투자형 사모투자신탁 종류A,2018-04-19,KOSDAQ Venture,삼성증권,79,86,"1,138.15",3.72,0.58,-0.40,14.20,11.78,13.81
수성,수성코스닥벤처 멀티에셋공격투자 전문투자형사모투자신탁 종류C-S,2018-04-05,KOSDAQ Venture,삼성증권,196,232,"1,203.81",3.10,-0.49,0.42,18.32,16.83,20.38
수성,수성코스닥벤처 멀티에셋공모주 전문투자형사모투자신탁 2호 종류C-S,2018-04-12,KOSDAQ Venture,KB증권,199,227,"1,189.91",4.28,1.16,-0.37,13.10,15.94,18.99
수성,수성코스닥벤처 멀티에셋공모주 전문투자형사모투자신탁 종류C-S,2018-04-05,KOSDAQ Venture,신한금융투자,79,101,"1,294.12",0.77,0.05,-0.57,23.91,24.29,29.41
수성,수성코스닥벤처 멀티에셋오픈 전무투자형사모투자신탁 종류C,2018-04-13,KOSDAQ Venture,삼성증권,63,83,"1,313.44",3.48,0.92,-0.66,19.59,26.36,31.34
수성,수성코스닥벤처 멀티에셋오픈 전문투자형사모투자신탁 2호 종류C,2018-04-20,KOSDAQ Venture,삼성증권,59,62,"1,214.22",2.44,-1.07,-0.09,18.32,18.31,21.42
수성,수성코스닥벤처 메자닌 전문투자형사모투자신탁 종류A,2018-04-06,KOSDAQ Venture,한투증권,82,106,"1,383.21",3.77,-0.03,-0.78,25.96,31.72,38.32
수성,수성코스닥벤처P3 전문투자형사모투자신탁 종류A,2019-05-07,KOSDAQ Venture,KB증권,18,18,993.17,-0.67,-0.61,-0.18,-0.68,-5.54,-0.68
수성,수성코스닥벤처PLUS멀티전략 전문투자형사모투자신탁,2018-06-14,KOSDAQ Venture,삼성증권,100,121,"1,214.26",2.63,-0.55,-0.02,19.91,21.02,21.43
수성,수성코스닥벤처PrivilegeP2 전문투자형사모투자신탁 종류A,2019-04-15,KOSDAQ Venture,KB증권,154,149,960.72,-1.33,-2.06,-0.24,-3.93,-21.40,-3.93
씨스퀘어,씨스퀘어 바이오 벤처투자 전문투자형 사모투자신탁 1호 A,2018-07-02,KOSDAQ Venture,미래에셋대우,65,66,"1,012.05",-0.18,-0.19,-0.07,-0.71,1.24,1.21
씨스퀘어,씨스퀘어 벤처투자 전문투자형 사모투자신탁 1호 A,2018-04-05,KOSDAQ Venture,한투증권,58,57,982.02,0.56,0.83,1.02,4.36,-1.48,-1.80
씨스퀘어,씨스퀘어 벤처투자 전문투자형 사모투자신탁 2호 CS,2018-04-11,KOSDAQ Venture,한투증권,152,154,"1,028.30",1.37,1.01,0.40,7.24,2.37,2.83
씨스퀘어,씨스퀘어 벤처투자 전문투자형 사모투자신탁 3호 A,2018-04-06,KOSDAQ Venture,한투증권,64,64,"1,003.57",0.34,0.97,1.14,2.01,0.30,0.36
씨스퀘어,씨스퀘어 벤처투자 전문투자형 사모투자신탁 4호 CI,2018-04-16,KOSDAQ Venture,한투증권,150,146,975.43,1.23,0.21,0.26,3.41,-2.08,-2.46
씨스퀘어,씨스퀘어 벤처투자 전문투자형 사모투자신탁 5호 C,2018-04-30,KOSDAQ Venture,미래에셋대우,56,56,"1,004.45",1.68,1.80,0.10,4.35,0.39,0.44
씨스퀘어,씨스퀘어 벤처투자 전문투자형 사모투자신탁 6호 A,2018-05-25,KOSDAQ Venture,미래에셋대우,33,34,"1,026.66",1.37,0.13,0.74,4.59,2.48,2.67
아람,아람 코스닥 벤처 PLUS 전문투자형 사모증권투자신탁,2018-05-02,KOSDAQ Venture,미래에셋대우,7,7,"1,409.43",0.32,-0.14,-0.01,15.17,36.01,40.94
아름드리,아름드리벤처투자전문투자형사모투자신탁제1호C-S,2018-05-16,KOSDAQ Venture,한투증권,42,42,993.27,-0.04,-0.01,-0.01,-0.29,-0.61,-0.67
아샘,아샘 코스닥벤처메자닌플러스 전문투자형 사모투자신탁 1호A,2018-04-23,KOSDAQ Venture,KB증권,59,67,"1,126.80",-0.17,-0.83,-0.37,8.72,10.92,12.68
아샘,아샘 코스닥벤처플러스 전문투자형 사모투자신탁 1호(혼합주식형)C,2018-04-05,KOSDAQ Venture,한투증권,74,96,"1,282.85",-0.65,-0.82,-0.28,9.35,23.36,28.28
아샘,아샘 코스닥벤처플러스 전문투자형 사모투자신탁 2호(혼합주식형)A,2018-05-11,KOSDAQ Venture,KB증권,53,62,"1,171.78",-1.47,-0.77,-0.26,8.07,15.44,17.18
아샘,아샘 코스닥벤처플러스 전문투자형 사모투자신탁 3호(혼합주식형) A,2019-05-30,KOSDAQ Venture,한투증권,45,43,953.87,-4.66,-1.21,-0.12,-4.61,-76.53,-4.61
아우름,아우름 골드러시 벤처기업 목표전환형 전문사모투자신탁 W,2018-04-30,KOSDAQ Venture,NH투자,22,23,"1,047.78",3.68,0.85,0.57,9.90,4.18,4.78
아우름,아우름 골드러시 코스닥벤처 전문사모투자신탁 제1호 W,2018-04-12,KOSDAQ Venture,NH투자,98,98,"1,010.25",3.39,1.63,0.80,8.71,0.86,1.02
아우름,아우름 골드러시 코스닥벤처 전문사모투자신탁 제2호 C-s,2018-04-20,KOSDAQ Venture,NH투자,107,110,"1,089.75",0.62,0.14,-0.06,3.59,7.67,8.98
아이앤제이,아이앤제이 벤처기업 전문투자형 사모투자신탁 2호,2018-07-06,KOSDAQ Venture,한투증권,46,49,"1,055.00",0.32,0.11,0.05,2.54,5.74,5.50
아이온,아이온 코스닥 벤처투자 전문투자형 사모투자신탁 제2호(종류A),2018-04-12,KOSDAQ Venture,미래에셋대우,45,43,965.87,-1.03,-2.70,-0.83,-6.24,-2.86,-3.41
아이온,아이온 코스닥 벤처투자 전문투자형 사모투자신탁 제4호(종류C),2018-04-30,KOSDAQ Venture,신한금융투자,51,52,"1,019.06",-0.58,-1.38,-0.40,4.12,1.67,1.91
아이온,아이온 코스닥 벤처투자 전문투자형 사모투자신탁 제5호(종류A),2018-05-24,KOSDAQ Venture,미래에셋대우,13,13,968.03,0.78,0.32,0.02,0.30,-2.97,-3.20
알펜루트,알펜루트 멀베리 코스닥벤처 전문투자형 사모투자신탁 제1호 종류 A,2018-04-10,KOSDAQ Venture,한투증권,58,54,"1,373.00",-5.71,-5.45,-0.63,14.42,31.15,37.30
알펜루트,알펜루트 메이플트리 코스닥벤처 전문투자형 사모투자신탁 제1호 종류 C,2018-04-05,KOSDAQ Venture,한투증권,77,72,"1,324.33",-5.84,-5.94,-0.92,12.89,26.78,32.43
알펜루트,알펜루트 버치트리 코스닥벤처 전문투자형 사모투자신탁 제1호 종류 A,2018-04-12,KOSDAQ Venture,한투증권,41,41,"1,064.34",-0.05,-0.57,-0.01,4.41,5.40,6.43
알펜루트,알펜루트 애스펜 코스닥벤처 전문투자형 사모투자신탁 제1호 종류 A,2018-04-24,KOSDAQ Venture,신한금융투자,37,37,"1,092.31",-0.51,-1.02,-0.01,8.82,7.97,9.23
알펜루트,알펜루트 애플트리 코스닥벤처 전문투자형 사모투자신탁 제1호 종류 C,2018-04-17,KOSDAQ Venture,신한금융투자,65,64,"1,105.33",-0.46,-0.58,0.14,5.16,8.94,10.53
알펜루트,알펜루트 에쉬 코스닥벤처 전문투자형 사모투자신탁 제1호 종류 C,2018-04-13,KOSDAQ Venture,한투증권,42,41,"1,077.08",0.15,-0.51,-0.01,0.77,6.48,7.71
알펜루트,알펜루트 엘더 코스닥벤처 전문투자형 사모투자신탁 제1호 종류 C,2018-04-19,KOSDAQ Venture,한투증권,48,48,"1,077.66",-0.68,-1.03,-0.02,4.99,6.62,7.77
알펜루트,알펜루트 오크트리 코스닥벤처 전문투자형 사모투자신탁 제1호 종류 A,2018-04-05,KOSDAQ Venture,한투증권,74,68,"1,326.42",-6.35,-6.51,-0.98,12.07,26.96,32.64
알펜루트,알펜루트 윌로우 코스닥벤처 전문투자형 사모투자신탁 제1호 종류 A,2018-04-17,KOSDAQ Venture,한투증권,40,40,"1,069.40",-0.52,-0.83,-0.01,6.32,5.89,6.94
알펜루트,알펜루트 체스트넛 코스닥벤처 전문투자형 사모투자신탁 제1호 종류 C,2018-04-24,KOSDAQ Venture,한투증권,45,46,"1,063.17",0.04,-0.49,-0.03,6.09,5.45,6.32
알펜루트,알펜루트 카멜리아 코스닥벤처 전문투자형 사모투자신탁 제1호 종류 C,2018-04-12,KOSDAQ Venture,한투증권,44,44,"1,042.21",0.21,-0.33,-0.03,4.59,3.54,4.22
알펜루트,알펜루트 하젤 코스닥벤처 전문투자형 사모투자신탁 제1호 종류 C,2018-04-17,KOSDAQ Venture,한투증권,41,42,"1,061.39",0.00,-0.62,-0.01,4.87,5.21,6.14
엑스포넨셜,엑스포넨셜 VENTURE PLUS 전문투자형 사모투자신탁제1호종류 C-S,2018-04-25,KOSDAQ Venture,KB증권,38,47,"1,285.83",0.81,-1.65,-0.08,12.73,24.72,28.58
오라이언,오라이언 코스닥벤처 전문투자형 사모투자신탁 제10호(Class C-S),2018-04-10,KOSDAQ Venture,NH투자,106,116,"1,164.27",2.82,0.64,0.03,11.63,13.72,16.43
오라이언,오라이언 코스닥벤처 전문투자형 사모투자신탁 제13호(Class C),2018-04-16,KOSDAQ Venture,NH투자,86,90,"1,145.05",1.62,0.02,0.15,4.70,12.28,14.51
오라이언,오라이언 코스닥벤처 전문투자형 사모투자신탁 제17호,2018-06-29,KOSDAQ Venture,NH투자,17,18,"1,079.84",4.77,2.79,-0.17,11.60,8.16,7.98
유나이티드 파트너스,유나이티드파트너스코스닥벤처펀드전문투자형사모투자신탁제1호,2018-05-16,KOSDAQ Venture,한투증권,14,16,"1,353.82",3.47,-2.29,-0.54,14.41,32.21,35.38
유레카,유레카코스닥벤처전문투자형사모투자신탁제1호,2019-04-09,KOSDAQ Venture,한투증권,30,30,"1,009.70",1.16,0.09,-0.04,0.97,4.85,0.97
유레카,유레카코스닥벤처전문투자형사모투자신탁제2호,2019-04-11,KOSDAQ Venture,한투증권,20,19,961.62,1.64,1.48,0.28,-3.84,-19.73,-3.84
유리,유리에이원코스닥벤처전문투자형사모투자신탁,2018-04-30,KOSDAQ Venture,KB증권,82,102,"1,339.14",-0.26,-2.49,-0.70,23.19,29.69,33.91
유리치,유리치코스닥벤처전문투자형사모투자신탁제1호,2018-07-13,KOSDAQ Venture,KB증권,30,39,"1,309.94",3.82,1.52,0.36,11.36,32.98,30.99
인벡스,인벡스 코스닥벤처펀드 전문투자형 사모투자신탁 제1호(종류 C),2018-04-05,KOSDAQ Venture,한투증권,95,97,"1,102.45",0.53,0.40,0.01,6.71,8.46,10.24
인벡스,인벡스 코스닥벤처펀드 전문투자형 사모투자신탁 제2호(종류 A),2018-06-21,KOSDAQ Venture,한투증권,57,58,"1,081.37",0.46,-0.09,-0.01,4.83,8.14,8.14
인벡스,인벡스 코스닥벤처펀드 전문투자형 사모투자신탁 제3호(종류 A),2019-04-05,KOSDAQ Venture,한투증권,46,46,"1,000.96",0.05,0.02,0.10,0.10,0.46,0.10
자비스,자비스코스닥벤처전문투자형사모투자신탁제3호,2018-10-05,KOSDAQ Venture,미래에셋대우,15,16,"1,441.29",0.35,-2.53,-1.30,34.80,62.19,44.13
제이앤제이,제이앤제이코스닥벤처전문투자형사모투자신탁제1호[주식혼합-파생형]S,2018-05-18,KOSDAQ Venture,삼성증권,85,86,"1,099.74",2.34,-1.16,-0.02,16.98,9.12,9.97
지브이에이,지브이에이 코스닥IPO-I 전문투자형사모투자신탁 Class Ci,2018-04-20,KOSDAQ Venture,NH투자,164,171,"1,061.12",3.47,0.86,0.11,6.53,5.22,6.11
지브이에이,지브이에이 코스닥벤처 전문투자형사모투자신탁 Class A,2018-04-20,KOSDAQ Venture,미래에셋대우,132,142,"1,078.62",4.07,1.25,0.25,8.44,6.72,7.86
코레이트,코레이트코스닥벤처기업 전문투자형 사모투자신탁2호 종류C-I,2018-05-03,KOSDAQ Venture,삼성증권,160,159,"1,057.75",-0.43,-0.59,-0.08,7.61,5.09,5.77
키웨스트,키웨스트 코스닥벤처 전문사모투자신탁 제1호,2019-05-22,KOSDAQ Venture,한투증권,11,12,"1,046.33",4.54,4.53,-0.24,4.63,56.37,4.63
타이거,타이거 코스닥벤처펀드 ALPHA 2 전문투자형 사모투자신탁(클래스A),2019-04-11,KOSDAQ Venture,한투증권,40,35,874.50,-1.23,0.06,0.42,-12.55,-64.52,-12.55
타임폴리오,타임폴리오 The Venture-V 전문투자형사모투자신탁 종류 C-S,2018-04-05,KOSDAQ Venture,신한금융투자,832,841,"1,032.92",0.84,-0.40,-0.26,5.50,2.72,3.29
타임폴리오,타임폴리오 코스닥벤처 Hedge-S 전문투자형사모투자신탁 종류 C-S,2018-04-16,KOSDAQ Venture,삼성증권,750,758,"1,056.53",1.00,-0.31,-0.39,5.70,4.79,5.65
타임폴리오,타임폴리오 코스닥벤처 Quant-I 전문투자형사모투자신탁 종류 C-S,2018-04-23,KOSDAQ Venture,신한금융투자,459,466,"1,025.72",1.19,-0.13,-0.29,5.71,2.21,2.57
트리니티,트리니티 라이징스타 전문투자형 사모투자신탁 종류C-S,2018-04-12,KOSDAQ Venture,NH투자,29,28,"1,048.76",0.00,0.00,0.00,12.07,4.09,4.88
트리니티,트리니티 슈팅스타 전문투자형 사모투자신탁 종류 C-S,2018-05-04,KOSDAQ Venture,NH투자,5,5,"1,067.72",3.46,2.05,0.93,26.14,5.99,6.77
파란,파란 벤처기업 전문투자형 사모투자신탁 제1호,2018-04-13,KOSDAQ Venture,한투증권,26,22,"1,246.63",1.97,-3.16,-1.66,12.64,20.74,24.66
파레토,파레토 블루베리코스닥벤처 전문투자형 사모투자신탁  제1호C-S,2018-05-02,KOSDAQ Venture,한투증권,16,16,"1,022.97",1.11,-2.28,-0.61,19.81,2.02,2.30
파인밸류,파인밸류 IPO플러스V 전문투자형사모증권투자신탁 종류A,2018-04-05,KOSDAQ Venture,NH투자,405,450,"1,108.67",-3.12,-3.41,-0.89,15.15,8.97,10.87
포커스,포커스H3 슈퍼리치 매직스톤 코스닥벤처 전문투자형 사모증권투자신탁 제1호,2018-04-24,KOSDAQ Venture,미래에셋대우,36,41,"1,136.32",8.19,-1.97,-1.12,16.27,11.76,13.63
포커스,포커스H3 슈퍼리치 플래티넘 코스닥벤처 전문투자형 사모증권투자신탁 제1호,2018-04-05,KOSDAQ Venture,미래에셋대우,41,47,"1,137.21",8.23,-1.98,-1.12,16.36,11.33,13.72
포커스,포커스N3 슈퍼리치 헤라클레스 코스닥벤처 전문투자형 사모증권투자신탁 제1호,2018-04-24,KOSDAQ Venture,미래에셋대우,39,45,"1,147.95",8.12,-2.17,-1.08,17.60,12.77,14.80
포커스,포커스Y3 슈퍼리치 호크 코스닥벤처 전문투자형 사모증권투자신탁 제1호,2018-04-17,KOSDAQ Venture,미래에셋대우,36,40,"1,136.72",8.22,-1.98,-1.12,16.30,11.61,13.67
품에,품에코스닥벤처전문투자형사모투자신탁제1호 클래스A,2019-05-20,KOSDAQ Venture,미래에셋대우,101,102,"1,009.69",0.94,0.48,0.01,0.97,11.05,0.97
품에,품에코스닥벤처전문투자형사모투자신탁제2호,2019-06-20,KOSDAQ Venture,미래에셋대우,100,100,999.98,0.00,0.00,0.00,0.00,-0.73,0.00
플랫폼파트너스,플랫폼파트너스 스마트벤처70 전문투자형사모투자신탁1호 종류A,2018-05-08,KOSDAQ Venture,삼성증권,54,63,"1,184.70",2.09,0.34,-0.69,18.73,16.48,18.47
플랫폼파트너스,플랫폼파트너스 스마트벤처80 전문투자형사모투자신탁1호 종류A,2018-05-10,KOSDAQ Venture,KB증권,61,72,"1,193.35",5.77,1.09,0.08,26.75,17.34,19.33
피델리스,피델리스 코스닥벤처 전문투자형 사모투자신탁 제2호,2019-06-17,KOSDAQ Venture,NH투자,140,140,"1,000.13",0.01,0.01,0.01,0.01,1.19,0.01
피아이엠,피아이엠메자닌알파전문투자형사모투자신탁3호(종류_C1),2019-06-12,KOSDAQ Venture,미래에셋대우,165,165,"1,001.80",0.18,0.12,0.05,0.18,7.30,0.18
피아이엠,피아이엠코스닥벤처전문투자형사모투자신탁1호,2019-06-07,KOSDAQ Venture,미래에셋대우,11,11,"1,000.42",0.04,0.07,0.00,0.04,1.09,0.04
한&파트너스,한&파트너스 코스닥벤처 블루 전문투자형사모투자신탁,2018-04-30,KOSDAQ Venture,KB증권,69,56,807.56,3.32,0.89,0.44,-24.81,-16.84,-19.24
한&파트너스,한&파트너스 코스닥벤처 스카이 전문투자형사모투자신탁 Class C,2018-05-08,KOSDAQ Venture,KB증권,52,48,925.48,2.70,0.50,0.05,-11.37,-6.65,-7.45
한국대성,한국대성 코스닥벤처 전문투자형 사모투자신탁 제1호,2018-04-18,KOSDAQ Venture,NH투자,12,13,"1,294.56",6.12,3.41,-1.08,8.87,25.06,29.46
흥국자산,흥국코스닥벤처전문투자형사모투자신탁2호C,2018-05-11,KOSDAQ Venture,미래에셋대우,101,97,952.07,-0.20,-0.47,-0.16,0.63,-4.31,-4.79
흥국자산,흥국코스닥벤처전문투자형사모투자신탁C-i,2018-04-09,KOSDAQ Venture,미래에셋대우,159,156,977.44,-0.38,-0.49,-0.04,-0.11,-1.88,-2.26
썬앤트리,썬앤트리 공모주 하이일드 전문투자형 사모증권투자신탁 제3호,2019-01-16,IPO/High-yield,NH투자,31,33,"1,032.99",0.65,0.01,0.00,3.30,7.72,3.30
썬앤트리,썬앤트리공모주분리과세하이일드전문투자형사모증권투자신탁1호(채권혼합),2016-06-09,IPO/High-yield,미래에셋대우,14,17,"1,638.48",0.91,-0.06,-0.17,14.03,21.05,63.85
썬앤트리,썬앤트리공모주분리과세하이일드전문투자형사모증권투자신탁2호(채권혼합),2016-11-11,IPO/High-yield,미래에셋대우,5,6,"1,719.17",7.14,-0.29,-0.17,9.13,27.57,71.92
파인밸류,파인밸류메자닌플러스전문투자형사모증권투자신탁[채권혼합] 종류C,2016-05-31,"IPO / Pre IPO /
Mezzanine",KB증권,606,627,"1,332.58",-0.16,-0.74,-0.17,4.36,10.88,33.26
씨케이골디락스,CK 골디락스 IPO PLUS 전문투자형 사모투자신탁 제2호 종류C,2017-03-29,IPO,미래에셋대우,52,50,"1,147.92",0.53,-0.12,-0.44,3.28,6.63,14.79
LK,LK 롱숏플러스 IPO 전문투자형 사모투자신탁 C-2클래스,2016-04-06,IPO,미래에셋대우,71,75,"1,126.09",-1.21,-0.74,-0.28,10.77,3.93,12.61
국제,국제 하이일드 전문투자형사모투자신탁1호,2019-05-16,IPO,KB증권,10,10,"1,004.31",0.39,0.01,-0.01,0.43,4.37,0.43
그로쓰힐,그로쓰힐 Global Pre-IPO 전문투자형 사모투자신탁 제1호 - 종류C,2018-08-31,IPO,삼성증권,91,91,"1,005.14",-1.84,-1.36,-0.74,2.94,0.64,0.51
그로쓰힐,그로쓰힐 뉴패러다임 전문투자형 사모투자신탁 제1호 - 종류A,2018-04-10,IPO,삼성증권,15,15,986.00,-0.04,1.09,1.24,9.71,-1.17,-1.40
그로쓰힐,그로쓰힐 다윈 메자닌 전문투자형 사모투자신탁 제2호 - 종류I,2019-02-11,IPO,KB증권,102,102,999.07,-0.02,-0.01,0.00,-0.09,-0.26,-0.09
그로쓰힐,그로쓰힐 패밀리오피스 전문투자형 사모투자신탁 제2호 - 종류C,2017-11-01,IPO,삼성증권,15,12,823.44,2.51,0.59,0.18,0.68,-10.79,-17.66
